time,ts_utc,ts_et,open,high,low,close,volume
1750177800,2025-06-17 16:30:00+00:00,2025-06-17 12:30:00,22108.8,22127.2,22072.2,22084.5,24373
1750178700,2025-06-17 16:45:00+00:00,2025-06-17 12:45:00,22084.2,22098.5,22025.8,22036.8,45992
1750179600,2025-06-17 17:00:00+00:00,2025-06-17 13:00:00,22036.2,22057.8,22014,22051,33282
1750180500,2025-06-17 17:15:00+00:00,2025-06-17 13:15:00,22050.2,22055,22014.2,22014.2,29105
1750181400,2025-06-17 17:30:00+00:00,2025-06-17 13:30:00,22014.5,22049.5,21984.8,22004.8,38217
1750182300,2025-06-17 17:45:00+00:00,2025-06-17 13:45:00,22005.5,22013.8,21941.5,21962.2,51371
1750183200,2025-06-17 18:00:00+00:00,2025-06-17 14:00:00,21962,21976.8,21922.8,21957.8,43965
1750184100,2025-06-17 18:15:00+00:00,2025-06-17 14:15:00,21957,21964.5,21911.2,21936.8,31197
1750185000,2025-06-17 18:30:00+00:00,2025-06-17 14:30:00,21936.8,21966.5,21908,21933.8,30867
1750185900,2025-06-17 18:45:00+00:00,2025-06-17 14:45:00,21934.8,21978.8,21930,21976.5,19885
1750186800,2025-06-17 19:00:00+00:00,2025-06-17 15:00:00,21977.2,21982.5,21945.8,21967,17735
1750187700,2025-06-17 19:15:00+00:00,2025-06-17 15:15:00,21967.2,21990.8,21959,21986.5,14084
1750188600,2025-06-17 19:30:00+00:00,2025-06-17 15:30:00,21987.5,21995.2,21961.2,21977.5,18840
1750189500,2025-06-17 19:45:00+00:00,2025-06-17 15:45:00,21977.5,22001.5,21946,21956.8,33579
1750190400,2025-06-17 20:00:00+00:00,2025-06-17 16:00:00,21956.8,21983,21945.2,21953.2,14021
1750191300,2025-06-17 20:15:00+00:00,2025-06-17 16:15:00,21953.8,21959.8,21937.2,21951.5,3869
1750192200,2025-06-17 20:30:00+00:00,2025-06-17 16:30:00,21951,21962.5,21949,21962.5,2558
1750193100,2025-06-17 20:45:00+00:00,2025-06-17 16:45:00,21963,21968,21939,21953.2,3536
1750197600,2025-06-17 22:00:00+00:00,2025-06-17 18:00:00,21937.5,21941.8,21895,21919.5,8018
1750198500,2025-06-17 22:15:00+00:00,2025-06-17 18:15:00,21920,21921.5,21900.5,21903,3733
1750199400,2025-06-17 22:30:00+00:00,2025-06-17 18:30:00,21902.8,21906.8,21876,21890,6179
1750200300,2025-06-17 22:45:00+00:00,2025-06-17 18:45:00,21889.8,21890.8,21862.8,21872.5,5168
1750201200,2025-06-17 23:00:00+00:00,2025-06-17 19:00:00,21872.8,21900.8,21863,21875.2,6626
1750202100,2025-06-17 23:15:00+00:00,2025-06-17 19:15:00,21875.5,21901.5,21873.8,21895.2,4162
1750203000,2025-06-17 23:30:00+00:00,2025-06-17 19:30:00,21895.2,21918.2,21886,21911.5,4202
1750203900,2025-06-17 23:45:00+00:00,2025-06-17 19:45:00,21911.2,21926,21893.2,21905.5,7365
1750204800,2025-06-18 00:00:00+00:00,2025-06-17 20:00:00,21905.8,21968,21904.2,21963,12192
1750205700,2025-06-18 00:15:00+00:00,2025-06-17 20:15:00,21963.5,21974,21949,21957.5,7323
1750206600,2025-06-18 00:30:00+00:00,2025-06-17 20:30:00,21958.5,21988,21952.5,21978.5,5491
1750207500,2025-06-18 00:45:00+00:00,2025-06-17 20:45:00,21978.2,21980,21956.2,21978,5327
1750208400,2025-06-18 01:00:00+00:00,2025-06-17 21:00:00,21977.5,22011,21976.5,21982.8,9624
1750209300,2025-06-18 01:15:00+00:00,2025-06-17 21:15:00,21982.2,21988.5,21969,21976,3903
1750210200,2025-06-18 01:30:00+00:00,2025-06-17 21:30:00,21976.2,22000.5,21975.8,21986.5,4444
1750211100,2025-06-18 01:45:00+00:00,2025-06-17 21:45:00,21987.2,21988.8,21962.5,21974,3672
1750212000,2025-06-18 02:00:00+00:00,2025-06-17 22:00:00,21974.5,21981.2,21963.8,21972.2,2864
1750212900,2025-06-18 02:15:00+00:00,2025-06-17 22:15:00,21971.5,21994,21971.2,21989,3044
1750213800,2025-06-18 02:30:00+00:00,2025-06-17 22:30:00,21988.8,22001.2,21983.5,21992.8,2888
1750214700,2025-06-18 02:45:00+00:00,2025-06-17 22:45:00,21992.2,22003,21973,21977.5,3420
1750215600,2025-06-18 03:00:00+00:00,2025-06-17 23:00:00,21977,21981.2,21967.8,21973.8,2885
1750216500,2025-06-18 03:15:00+00:00,2025-06-17 23:15:00,21974,21984.5,21968.5,21971.8,2531
1750217400,2025-06-18 03:30:00+00:00,2025-06-17 23:30:00,21971.2,21978.8,21967.2,21978.2,1891
1750218300,2025-06-18 03:45:00+00:00,2025-06-17 23:45:00,21977.8,21981.8,21967,21969.5,1969
1750219200,2025-06-18 04:00:00+00:00,2025-06-18 00:00:00,21969.2,21983,21967.5,21979.2,1820
1750220100,2025-06-18 04:15:00+00:00,2025-06-18 00:15:00,21979,21979.8,21944.5,21958.2,3982
1750221000,2025-06-18 04:30:00+00:00,2025-06-18 00:30:00,21958.2,21972.5,21955.2,21970,2570
1750221900,2025-06-18 04:45:00+00:00,2025-06-18 00:45:00,21970.2,21987.2,21967.2,21980,3004
1750222800,2025-06-18 05:00:00+00:00,2025-06-18 01:00:00,21979.8,21994.2,21978.5,21987,2825
1750223700,2025-06-18 05:15:00+00:00,2025-06-18 01:15:00,21988.5,21994.5,21983.5,21986,1422
1750224600,2025-06-18 05:30:00+00:00,2025-06-18 01:30:00,21986.5,21997.2,21979.8,21986.2,2360
1750225500,2025-06-18 05:45:00+00:00,2025-06-18 01:45:00,21985.8,21991.8,21759.8,21988.2,1514
1750226400,2025-06-18 06:00:00+00:00,2025-06-18 02:00:00,21988.5,22014.2,21981.2,22009,5084
1750227300,2025-06-18 06:15:00+00:00,2025-06-18 02:15:00,22009,22021,21997,22018.8,3649
1750228200,2025-06-18 06:30:00+00:00,2025-06-18 02:30:00,22018.2,22030.5,22001.8,22007,4963
1750229100,2025-06-18 06:45:00+00:00,2025-06-18 02:45:00,22007.2,22010.5,21994.8,22003,2584
1750230000,2025-06-18 07:00:00+00:00,2025-06-18 03:00:00,22003.8,22017.8,21999,22011.2,4874
1750230900,2025-06-18 07:15:00+00:00,2025-06-18 03:15:00,22010.5,22029,22007,22013.8,4571
1750231800,2025-06-18 07:30:00+00:00,2025-06-18 03:30:00,22013.2,22031.8,22013.2,22026.2,3582
1750232700,2025-06-18 07:45:00+00:00,2025-06-18 03:45:00,22025,22027.8,21997.5,22014,4169
1750233600,2025-06-18 08:00:00+00:00,2025-06-18 04:00:00,22014.5,22035.8,22008.8,22021.8,4035
1750234500,2025-06-18 08:15:00+00:00,2025-06-18 04:15:00,22021.8,22024,22005.5,22016,3928
1750235400,2025-06-18 08:30:00+00:00,2025-06-18 04:30:00,22016.2,22024.8,22012.2,22018.5,2346
1750236300,2025-06-18 08:45:00+00:00,2025-06-18 04:45:00,22018.8,22037.2,22017,22031.5,2562
1750237200,2025-06-18 09:00:00+00:00,2025-06-18 05:00:00,22032.2,22065.2,22031.5,22050,7471
1750238100,2025-06-18 09:15:00+00:00,2025-06-18 05:15:00,22049.5,22057,22045.2,22047.8,2100
1750239000,2025-06-18 09:30:00+00:00,2025-06-18 05:30:00,22047.5,22051.2,22028.8,22037.2,3109
1750239900,2025-06-18 09:45:00+00:00,2025-06-18 05:45:00,22038,22045.5,22030.2,22031.8,2781
1750240800,2025-06-18 10:00:00+00:00,2025-06-18 06:00:00,22031.2,22035.5,22010.5,22024.5,5134
1750241700,2025-06-18 10:15:00+00:00,2025-06-18 06:15:00,22024.5,22032.8,21991,22008,6614
1750242600,2025-06-18 10:30:00+00:00,2025-06-18 06:30:00,22008,22011.8,21987.2,21999.2,5316
1750243500,2025-06-18 10:45:00+00:00,2025-06-18 06:45:00,21999,22009.2,21952.5,21957.5,7988
1750244400,2025-06-18 11:00:00+00:00,2025-06-18 07:00:00,21957.5,21973.5,21952,21965.8,6133
1750245300,2025-06-18 11:15:00+00:00,2025-06-18 07:15:00,21965.2,21987.2,21957.8,21982.5,5899
1750246200,2025-06-18 11:30:00+00:00,2025-06-18 07:30:00,21982.5,22007,21977,22003.2,5902
1750247100,2025-06-18 11:45:00+00:00,2025-06-18 07:45:00,22003.8,22030.5,22001.8,22007.5,7996
1750248000,2025-06-18 12:00:00+00:00,2025-06-18 08:00:00,22007.5,22011.2,21993.8,22010.8,5276
1750248900,2025-06-18 12:15:00+00:00,2025-06-18 08:15:00,22009.8,22020,21996.5,22004.5,4954
1750249800,2025-06-18 12:30:00+00:00,2025-06-18 08:30:00,22005.2,22010.8,21980,21992.5,7353
1750250700,2025-06-18 12:45:00+00:00,2025-06-18 08:45:00,21992.5,22004.8,21982.8,21987,6018
1750251600,2025-06-18 13:00:00+00:00,2025-06-18 09:00:00,21987,22010.2,21983.2,22002.8,6743
1750252500,2025-06-18 13:15:00+00:00,2025-06-18 09:15:00,22003,22014.2,21991.5,21992.8,7952
1750253400,2025-06-18 13:30:00+00:00,2025-06-18 09:30:00,21992.5,21995.8,21926.5,21977.2,63491
1750254300,2025-06-18 13:45:00+00:00,2025-06-18 09:45:00,21977.2,22025.8,21971.2,22001,45205
1750255200,2025-06-18 14:00:00+00:00,2025-06-18 10:00:00,22001.2,22052.2,21980.5,22045.2,56756
